a/Crusoe.txt;2261/121305
zenith/Crusoe.txt;1/121305
zee/Crusoe.txt;1/121305
youth/Crusoe.txt;2/121305
yourself/Crusoe.txt;1/121305
yours/Crusoe.txt;1/121305
yourn/Crusoe.txt;1/121305
youre/Crusoe.txt;1/121305
your/Crusoe.txt;39/121305
young/Crusoe.txt;37/121305
you/Crusoe.txt;205/121305
yorkshire/Crusoe.txt;1/121305
york/Crusoe.txt;2/121305
yonder/Crusoe.txt;3/121305
yielded/Crusoe.txt;6/121305
yield/Crusoe.txt;10/121305
yet/Crusoe.txt;147/121305
yes/Crusoe.txt;25/121305
yelped/Crusoe.txt;1/121305
yellow/Crusoe.txt;1/121305
yellings/Crusoe.txt;1/121305
yelling/Crusoe.txt;2/121305
yell/Crusoe.txt;1/121305
yeast/Crusoe.txt;3/121305
years/Crusoe.txt;74/121305
yearly/Crusoe.txt;3/121305
yearling/Crusoe.txt;1/121305
year/Crusoe.txt;62/121305
ye/Crusoe.txt;4/121305
yarmouth/Crusoe.txt;6/121305
yards/Crusoe.txt;17/121305
yardarm/Crusoe.txt;3/121305
yard/Crusoe.txt;1/121305
xurys/Crusoe.txt;1/121305
xury/Crusoe.txt;31/121305
wsw/Crusoe.txt;1/121305
wrung/Crusoe.txt;1/121305
wrought/Crusoe.txt;2/121305
wrote/Crusoe.txt;5/121305
wrongs/Crusoe.txt;1/121305
wronged/Crusoe.txt;1/121305
wrong/Crusoe.txt;6/121305
writings/Crusoe.txt;1/121305
writing/Crusoe.txt;5/121305
write/Crusoe.txt;4/121305
writ/Crusoe.txt;1/121305
wringing/Crusoe.txt;3/121305
wring/Crusoe.txt;1/121305
wretches/Crusoe.txt;18/121305
wretchedly/Crusoe.txt;1/121305
wretched/Crusoe.txt;3/121305
wretch/Crusoe.txt;8/121305
wrenched/Crusoe.txt;1/121305
wrench/Crusoe.txt;1/121305
wreck/Crusoe.txt;33/121305
wrapt/Crusoe.txt;1/121305
wrapping/Crusoe.txt;1/121305
wrapped/Crusoe.txt;2/121305
wranglings/Crusoe.txt;1/121305
wounds/Crusoe.txt;3/121305
wounding/Crusoe.txt;1/121305
wounded/Crusoe.txt;20/121305
wound/Crusoe.txt;3/121305
wouldest/Crusoe.txt;1/121305
would/Crusoe.txt;477/121305
woud/Crusoe.txt;1/121305
worthy/Crusoe.txt;1/121305
worth/Crusoe.txt;15/121305
worst/Crusoe.txt;10/121305
worshipped/Crusoe.txt;3/121305
worship/Crusoe.txt;2/121305
worse/Crusoe.txt;22/121305
worn/Crusoe.txt;5/121305
world/Crusoe.txt;78/121305
works/Crusoe.txt;10/121305
workmen/Crusoe.txt;1/121305
